state_abbr,week_start,week_end,week,temp_avg_week,precip_total_week,humidity_avg_week
MD,2025-01-15,2025-01-21,4,-3.7714285714285714,7.8999999999999995,73.28571428571429
MD,2025-01-22,2025-01-28,5,-3.085714285714286,0.0,60.857142857142854
MD,2025-01-29,2025-02-04,6,4.975,22.599999999999998,68.75
ME,2025-01-01,2025-01-07,2,-5.442857142857143,23.900000000000002,62.285714285714285
ME,2025-01-08,2025-01-14,3,-5.714285714285714,8.1,71.85714285714286
ME,2025-01-15,2025-01-21,4,-7.857142857142857,15.0,72.57142857142857
ME,2025-01-22,2025-01-28,5,-10.314285714285715,0.5,66.14285714285714
ME,2025-01-29,2025-02-04,6,-9.675,9.1,70.25
MI,2025-01-01,2025-01-07,2,-4.8999999999999995,3.1,72.85714285714286
MI,2025-01-08,2025-01-14,3,-6.471428571428571,10.9,76.85714285714286
MI,2025-01-15,2025-01-21,4,-9.042857142857143,1.5,78.0
MI,2025-01-22,2025-01-28,5,-6.942857142857143,4.9,77.42857142857143
MI,2025-01-29,2025-02-04,6,-2.25,0.4,72.25
MN,2025-01-01,2025-01-07,2,-13.014285714285714,0.0,51.285714285714285
MN,2025-01-08,2025-01-14,3,-12.028571428571428,9.7,73.71428571428571
MN,2025-01-15,2025-01-21,4,-15.557142857142859,2.5,71.14285714285714
MN,2025-01-22,2025-01-28,5,-8.928571428571429,1.8,75.0
MN,2025-01-29,2025-02-04,6,-2.05,3.6,67.5
MO,2025-01-01,2025-01-07,2,-3.3714285714285714,26.1,74.85714285714286
MO,2025-01-08,2025-01-14,3,-4.985714285714286,8.7,82.0
MO,2025-01-15,2025-01-21,4,-6.4142857142857155,0.2,63.42857142857143
MO,2025-01-22,2025-01-28,5,-1.4714285714285715,0.0,54.142857142857146
MO,2025-01-29,2025-02-04,6,5.575,3.4,81.0
MS,2025-01-01,2025-01-07,2,5.957142857142857,30.8,65.57142857142857
MS,2025-01-08,2025-01-14,3,3.385714285714286,28.5,68.28571428571429
MS,2025-01-15,2025-01-21,4,4.285714285714286,7.2,58.714285714285715
MS,2025-01-22,2025-01-28,5,4.0,25.5,60.42857142857143
MS,2025-01-29,2025-02-04,6,14.125,43.7,78.75
MT,2025-01-01,2025-01-07,2,-7.314285714285715,12.4,80.14285714285714
MT,2025-01-08,2025-01-14,3,-4.542857142857143,40.900000000000006,69.0
MT,2025-01-15,2025-01-21,4,-10.885714285714286,7.7,62.285714285714285
MT,2025-01-22,2025-01-28,5,-7.514285714285714,16.6,60.714285714285715
MT,2025-01-29,2025-02-04,6,-0.29999999999999993,0.2,46.5
NC,2025-01-01,2025-01-07,2,2.4857142857142853,11.399999999999999,56.714285714285715
NC,2025-01-08,2025-01-14,3,-0.8571428571428571,7.0,62.42857142857143
NC,2025-01-15,2025-01-21,4,1.6428571428571428,4.3,56.142857142857146
NC,2025-01-22,2025-01-28,5,1.1142857142857143,2.7,54.857142857142854
NC,2025-01-29,2025-02-04,6,11.05,12.9,58.0
ND,2025-01-01,2025-01-07,2,-19.557142857142857,0.8,77.28571428571429
ND,2025-01-08,2025-01-14,3,-13.271428571428572,9.7,82.28571428571429
ND,2025-01-15,2025-01-21,4,-15.071428571428571,0.8,76.0
ND,2025-01-22,2025-01-28,5,-7.1571428571428575,2.4,80.0
ND,2025-01-29,2025-02-04,6,-5.95,0.2,83.75
NE,2025-01-01,2025-01-07,2,-7.328571428571429,4.8,70.85714285714286
NE,2025-01-08,2025-01-14,3,-4.7,1.1,68.85714285714286
NE,2025-01-15,2025-01-21,4,-6.871428571428572,0.0,49.857142857142854
NE,2025-01-22,2025-01-28,5,-1.457142857142857,0.39999999999999997,51.714285714285715
NE,2025-01-29,2025-02-04,6,3.175,0.7,61.75
NH,2025-01-01,2025-01-07,2,-5.128571428571428,6.6,61.857142857142854
NH,2025-01-08,2025-01-14,3,-6.585714285714286,3.4000000000000004,70.28571428571429
NH,2025-01-15,2025-01-21,4,-7.885714285714286,13.2,71.85714285714286
NH,2025-01-22,2025-01-28,5,-9.671428571428573,0.4,64.57142857142857
NH,2025-01-29,2025-02-04,6,-7.275,13.399999999999999,72.75
NJ,2025-01-01,2025-01-07,2,-0.3142857142857144,4.7,59.42857142857143
NJ,2025-01-08,2025-01-14,3,-1.7857142857142858,1.9,55.142857142857146
NJ,2025-01-15,2025-01-21,4,-3.2142857142857144,9.899999999999999,66.0
NJ,2025-01-22,2025-01-28,5,-4.342857142857143,0.0,58.142857142857146
NJ,2025-01-29,2025-02-04,6,2.475,16.7,62.25
NM,2025-01-01,2025-01-07,2,1.7142857142857142,0.1,37.57142857142857
NM,2025-01-08,2025-01-14,3,-3.8999999999999995,8.8,61.42857142857143
NM,2025-01-15,2025-01-21,4,-3.657142857142857,0.0,41.714285714285715
NM,2025-01-22,2025-01-28,5,-1.4142857142857144,0.0,33.142857142857146
NM,2025-01-29,2025-02-04,6,0.04999999999999999,0.4,44.75
NV,2025-01-01,2025-01-07,2,1.842857142857143,1.2000000000000002,56.0
NV,2025-01-08,2025-01-14,3,-2.642857142857143,0.0,50.57142857142857
